PRI,timestamp,platform_lat,platform_lon,frequency,pulse_width,aoa,df_quality
2007,2025-01-01T12:30:26Z,20.0713,25,1.805,13,44.33,9
2009,2025-01-01T12:30:27Z,20.0719,25,1.802,15,93.4,1
2010,2025-01-01T12:30:28Z,20.0731,25,1.807,11,70.76,9
2005,2025-01-01T12:30:29Z,20.0751,25,1.803,12,68.98,8
2006,2025-01-01T12:30:30Z,20.0754,25,1.813,10,58.49,8
2008,2025-01-01T12:30:31Z,20.0764,25,1.813,10,57.5,10
2003,2025-01-01T12:30:32Z,20.0811,25,1.815,15,93.61,1
2001,2025-01-01T12:30:33Z,20.0874,25,1.812,11,68.62,8
2006,2025-01-01T12:30:34Z,20.0877,25,1.815,10,76.73,6
2000,2025-01-01T12:30:35Z,20.0919,25,1.809,12,76.81,6
2004,2025-01-01T12:30:36Z,20.0926,25,1.813,10,41.62,10
2004,2025-01-01T12:30:37Z,20.0943,25,1.803,15,88.73,3
2006,2025-01-01T12:30:38Z,20.0954,25,1.8,12,90.28,3
2004,2025-01-01T12:30:39Z,20.0957,25,1.804,13,86.86,4
2005,2025-01-01T12:30:40Z,20.096,25,1.813,11,89.05,3
2009,2025-01-01T12:30:41Z,20.0965,25,1.801,10,102.11,10
2005,2025-01-01T12:30:42Z,20.0982,25,1.802,13,57.75,9
2009,2025-01-01T12:30:43Z,20.0983,25,1.812,15,103.04,8
2000,2025-01-01T12:30:44Z,20.0998,25,1.81,10,92.65,4
2003,2025-01-01T12:30:45Z,20.104,25,1.81,13,80.23,10
2009,2025-01-01T12:30:46Z,20.1043,25,1.808,14,94.9,10
2004,2025-01-01T12:30:47Z,20.1054,25,1.813,11,89.35,3
2006,2025-01-01T12:30:48Z,20.1062,25,1.814,15,87.9,5
2002,2025-01-01T12:30:49Z,20.1067,25,1.805,14,97.81,6
2009,2025-01-01T12:30:50Z,20.1074,25,1.814,10,93.7,2
2006,2025-01-01T12:30:51Z,20.1104,25,1.813,13,89.45,3
2009,2025-01-01T12:30:52Z,20.1104,25,1.8,11,89.36,3
2004,2025-01-01T12:30:53Z,20.1133,25,1.803,14,97.33,2
2003,2025-01-01T12:30:54Z,20.1171,25,1.801,15,85.42,4
2009,2025-01-01T12:30:55Z,20.1195,25,1.811,14,82.77,5
2001,2025-01-01T12:30:56Z,20.1241,25,1.813,15,92.57,2
2003,2025-01-01T12:30:57Z,20.1247,25,1.804,10,95.47,7
2000,2025-01-01T12:30:58Z,20.1264,25,1.814,10,89.7,3
2002,2025-01-01T12:30:59Z,20.1293,25,1.809,11,77.57,7
2005,2025-01-01T12:31:00Z,20.1298,25,1.812,11,55.44,10
2000,2025-01-01T12:31:01Z,20.1368,25,1.809,11,78.62,7
2002,2025-01-01T12:31:02Z,20.1386,25,1.808,11,91.29,3
2007,2025-01-01T12:31:03Z,20.1456,25,1.81,10,94.55,1
2010,2025-01-01T12:31:04Z,20.1501,25,1.8,10,98.15,2
2007,2025-01-01T12:31:05Z,20.1527,25,1.808,13,66.33,10
2004,2025-01-01T12:31:06Z,20.1554,25,1.811,14,71.86,9
2004,2025-01-01T12:31:07Z,20.1565,25,1.804,15,96.11,6
2008,2025-01-01T12:31:08Z,20.1574,25,1.805,13,94.81,2
2005,2025-01-01T12:31:09Z,20.1691,25,1.803,12,95.57,1
2002,2025-01-01T12:31:10Z,20.1699,25,1.802,12,92.23,3
2010,2025-01-01T12:31:11Z,20.1742,25,1.803,11,91.06,5
2004,2025-01-01T12:31:12Z,20.1747,25,1.807,12,98.27,6
2006,2025-01-01T12:31:13Z,20.1784,25,1.814,12,98.78,2
2004,2025-01-01T12:31:14Z,20.1788,25,1.814,14,90.26,5
2010,2025-01-01T12:31:15Z,20.1809,25,1.811,11,92.37,3
2006,2025-01-01T12:31:16Z,20.1829,25,1.806,10,48.23,9
2003,2025-01-01T12:31:17Z,20.1834,25,1.802,14,72.35,10
2006,2025-01-01T12:31:18Z,20.1844,25,1.804,15,92.44,3
2008,2025-01-01T12:31:19Z,20.1855,25,1.81,11,98.49,6
2010,2025-01-01T12:31:20Z,20.1921,25,1.806,15,91.42,7
2000,2025-01-01T12:31:21Z,20.1949,25,1.808,14,96.88,7
2001,2025-01-01T12:31:22Z,20.1954,25,1.815,14,104.99,8
2006,2025-01-01T12:31:23Z,20.1958,25,1.804,14,47.2,8
2008,2025-01-01T12:31:24Z,20.1973,25,1.807,15,82.53,7
2001,2025-01-01T12:31:25Z,20.1976,25,1.807,12,78.93,7
2001,2025-01-01T12:31:26Z,20.2058,25,1.806,15,91.18,3
2001,2025-01-01T12:31:27Z,20.2072,25,1.801,14,95.91,1
2006,2025-01-01T12:31:28Z,20.2093,25,1.804,14,95.96,1
2005,2025-01-01T12:31:29Z,20.2161,25,1.813,14,101.8,8
2000,2025-01-01T12:31:30Z,20.2188,25,1.8,14,62.54,8
2001,2025-01-01T12:31:31Z,20.219,25,1.815,12,68.56,8
2008,2025-01-01T12:31:32Z,20.2197,25,1.806,15,87.58,4
2000,2025-01-01T12:31:33Z,20.2204,25,1.809,11,95.71,2
2000,2025-01-01T12:31:34Z,20.2215,25,1.801,14,92.01,5
2000,2025-01-01T12:31:35Z,20.2229,25,1.803,12,80.68,9
2004,2025-01-01T12:31:36Z,20.224,25,1.814,13,101.06,7
2007,2025-01-01T12:31:37Z,20.2242,25,1.801,13,98.36,7
2004,2025-01-01T12:31:38Z,20.2251,25,1.802,13,97.85,8
2009,2025-01-01T12:31:39Z,20.2251,25,1.806,10,101.08,7
2000,2025-01-01T12:31:40Z,20.2265,25,1.811,14,90.57,4
2001,2025-01-01T12:31:41Z,20.2271,25,1.801,15,93.02,7
2010,2025-01-01T12:31:42Z,20.2284,25,1.803,13,67.84,10
2005,2025-01-01T12:31:43Z,20.2312,25,1.811,10,93.1,7
2009,2025-01-01T12:31:44Z,20.2342,25,1.806,13,93.59,4
2008,2025-01-01T12:31:45Z,20.236,25,1.804,10,96.55,1
2000,2025-01-01T12:31:46Z,20.2405,25,1.805,13,97.52,4
2009,2025-01-01T12:31:47Z,20.2429,25,1.803,11,98.7,1
2008,2025-01-01T12:31:48Z,20.2471,25,1.813,10,94.81,4
2005,2025-01-01T12:31:49Z,20.2473,25,1.81,14,107.82,9
2000,2025-01-01T12:31:50Z,20.2521,25,1.805,14,80.02,7
2006,2025-01-01T12:31:51Z,20.2555,25,1.815,12,97.48,1
2005,2025-01-01T12:31:52Z,20.2578,25,1.815,14,58.43,10
2010,2025-01-01T12:31:53Z,20.2585,25,1.813,14,97.89,4
2005,2025-01-01T12:31:54Z,20.2599,25,1.81,11,70.85,9
2009,2025-01-01T12:31:55Z,20.2633,25,1.814,13,97.34,7
2007,2025-01-01T12:31:56Z,20.2661,25,1.807,15,97.21,2
2005,2025-01-01T12:31:57Z,20.2663,25,1.806,13,85.7,5
2010,2025-01-01T12:31:58Z,20.2685,25,1.801,14,110.04,9
2007,2025-01-01T12:31:59Z,20.2744,25,1.802,13,90.63,4
2003,2025-01-01T12:32:00Z,20.2796,25,1.801,12,96.51,2
2008,2025-01-01T12:32:01Z,20.2819,25,1.811,14,83.31,7
2007,2025-01-01T12:32:02Z,20.2822,25,1.803,10,98.07,1
2008,2025-01-01T12:32:03Z,20.2842,25,1.809,10,95.95,7
2010,2025-01-01T12:32:04Z,20.2857,25,1.804,11,66.12,9
2002,2025-01-01T12:32:05Z,20.2869,25,1.815,12,83.4,7
2003,2025-01-01T12:32:06Z,20.2873,25,1.8,11,72.61,10
2001,2025-01-01T12:32:07Z,20.2883,25,1.8,10,94.53,3
2010,2025-01-01T12:32:08Z,20.2884,25,1.812,13,63.76,10
2007,2025-01-01T12:32:09Z,20.2892,25,1.801,13,90.65,5
2001,2025-01-01T12:32:10Z,20.2897,25,1.803,15,47.84,10
2006,2025-01-01T12:32:11Z,20.2945,25,1.804,15,85.35,5
2002,2025-01-01T12:32:12Z,20.2957,25,1.806,11,99.36,1
2004,2025-01-01T12:32:13Z,20.2972,25,1.806,12,107.01,10
2004,2025-01-01T12:32:14Z,20.2976,25,1.8,12,71.92,8
2001,2025-01-01T12:32:15Z,20.2998,25,1.803,13,93.15,3
2010,2025-01-01T12:32:16Z,20.3004,25,1.814,14,66.37,10
2008,2025-01-01T12:32:17Z,20.3053,25,1.802,11,96.97,4
2004,2025-01-01T12:32:18Z,20.3053,25,1.811,12,38.54,10
2005,2025-01-01T12:32:19Z,20.3061,25,1.802,11,86.16,8
2004,2025-01-01T12:32:20Z,20.31,25,1.815,14,95.56,7
2005,2025-01-01T12:32:21Z,20.3104,25,1.804,11,93.56,3
2002,2025-01-01T12:32:22Z,20.3106,25,1.813,10,95.18,4
2003,2025-01-01T12:32:23Z,20.3133,25,1.812,12,56.87,10
2005,2025-01-01T12:32:24Z,20.3143,25,1.803,11,88.44,5
2006,2025-01-01T12:32:25Z,20.3152,25,1.801,12,110.06,9
2006,2025-01-01T12:32:26Z,20.3163,25,1.815,15,75.88,7
2000,2025-01-01T12:32:27Z,20.3174,25,1.811,14,100.34,1
2010,2025-01-01T12:32:28Z,20.3188,25,1.805,10,98.37,1
2000,2025-01-01T12:32:29Z,20.3189,25,1.805,14,79.54,7
2003,2025-01-01T12:32:30Z,20.3206,25,1.801,14,100.27,7
2005,2025-01-01T12:32:31Z,20.3219,25,1.809,11,97.94,2
2006,2025-01-01T12:32:32Z,20.3258,25,1.809,12,95.21,3
2007,2025-01-01T12:32:33Z,20.3272,25,1.813,15,95.53,3
2007,2025-01-01T12:32:34Z,20.3286,25,1.812,11,95.18,3
2006,2025-01-01T12:32:35Z,20.3288,25,1.802,15,71.15,8
2010,2025-01-01T12:32:36Z,20.3312,25,1.815,10,86.08,5
2004,2025-01-01T12:32:37Z,20.3368,25,1.8,15,99.26,1
2006,2025-01-01T12:32:38Z,20.3373,25,1.812,11,102.27,2
2008,2025-01-01T12:32:39Z,20.3377,25,1.815,13,83.5,7
2002,2025-01-01T12:32:40Z,20.3387,25,1.801,10,84.56,9
2002,2025-01-01T12:32:41Z,20.3391,25,1.802,15,97.31,2
2002,2025-01-01T12:32:42Z,20.3401,25,1.815,15,57.28,8
2004,2025-01-01T12:32:43Z,20.3413,25,1.813,10,92.02,4
2002,2025-01-01T12:32:44Z,20.3468,25,1.813,10,82.78,7
2009,2025-01-01T12:32:45Z,20.3495,25,1.805,14,94.28,3
2010,2025-01-01T12:32:46Z,20.3525,25,1.811,13,97.3,7
2000,2025-01-01T12:32:47Z,20.3598,25,1.8,10,61.01,9
2007,2025-01-01T12:32:48Z,20.3617,25,1.809,13,101.31,1
2009,2025-01-01T12:32:49Z,20.3733,25,1.809,11,98.06,2
2001,2025-01-01T12:32:50Z,20.3756,25,1.807,11,85.15,6
2003,2025-01-01T12:32:51Z,20.3764,25,1.812,10,100.13,1
2004,2025-01-01T12:32:52Z,20.3778,25,1.802,11,59.33,10
2003,2025-01-01T12:32:53Z,20.3801,25,1.812,14,40.35,8
2000,2025-01-01T12:32:54Z,20.3807,25,1.815,14,95.02,3
2000,2025-01-01T12:32:55Z,20.3813,25,1.813,10,41.37,9
2007,2025-01-01T12:32:56Z,20.3866,25,1.807,12,103.35,2
2007,2025-01-01T12:32:57Z,20.3904,25,1.802,13,98.94,7
2009,2025-01-01T12:32:58Z,20.3918,25,1.812,12,86.36,5
2005,2025-01-01T12:32:59Z,20.3935,25,1.808,10,72.6,8
2006,2025-01-01T12:33:00Z,20.3943,25,1.808,10,95.39,3
2001,2025-01-01T12:33:01Z,20.3962,25,1.804,13,106.25,8
2010,2025-01-01T12:33:02Z,20.3983,25,1.811,15,70.86,9
2007,2025-01-01T12:33:03Z,20.4008,25,1.811,10,100.65,1
2006,2025-01-01T12:33:04Z,20.404,25,1.811,15,97.02,3
2004,2025-01-01T12:33:05Z,20.4059,25,1.807,14,61.81,9
2004,2025-01-01T12:33:06Z,20.4092,25,1.801,15,102.34,1
2003,2025-01-01T12:33:07Z,20.4106,25,1.801,11,101.05,4
2001,2025-01-01T12:33:08Z,20.4107,25,1.804,12,95.44,3
2009,2025-01-01T12:33:09Z,20.4119,25,1.802,13,88.48,8
2010,2025-01-01T12:33:10Z,20.4122,25,1.807,11,82.18,9
2007,2025-01-01T12:33:11Z,20.4137,25,1.815,10,99.43,2
2008,2025-01-01T12:33:12Z,20.4137,25,1.813,15,93.09,5
2008,2025-01-01T12:33:13Z,20.4166,25,1.8,15,82.95,8
2006,2025-01-01T12:33:14Z,20.4166,25,1.813,12,62.25,9
2000,2025-01-01T12:33:15Z,20.42,25,1.809,12,95.91,6
2005,2025-01-01T12:33:16Z,20.4213,25,1.801,12,101.1,1
2001,2025-01-01T12:33:17Z,20.4223,25,1.812,10,103.62,2
2007,2025-01-01T12:33:18Z,20.424,25,1.804,15,77.09,8
2001,2025-01-01T12:33:19Z,20.4249,25,1.8,13,90.61,5
2004,2025-01-01T12:33:20Z,20.4262,25,1.814,10,74.43,8
2002,2025-01-01T12:33:21Z,20.4304,25,1.812,10,63.03,8
2001,2025-01-01T12:33:22Z,20.4306,25,1.808,10,83.86,8
2008,2025-01-01T12:33:23Z,20.4322,25,1.811,11,88.78,8
2007,2025-01-01T12:33:24Z,20.433,25,1.804,10,79.06,6
2005,2025-01-01T12:33:25Z,20.4344,25,1.809,13,95.83,3
2003,2025-01-01T12:33:26Z,20.4371,25,1.812,10,103.44,2
2008,2025-01-01T12:33:27Z,20.4387,25,1.805,12,102.97,1
2003,2025-01-01T12:33:28Z,20.4426,25,1.809,15,105.35,7
2001,2025-01-01T12:33:29Z,20.4455,25,1.804,10,72.11,10
2009,2025-01-01T12:33:30Z,20.4463,25,1.805,13,96.42,6
2003,2025-01-01T12:33:31Z,20.4471,25,1.801,11,101.79,4
2004,2025-01-01T12:33:32Z,20.4477,25,1.801,10,81.15,6
2001,2025-01-01T12:33:33Z,20.452,25,1.815,13,104.76,2
2006,2025-01-01T12:33:34Z,20.4536,25,1.811,12,81.26,7
2009,2025-01-01T12:33:35Z,20.4591,25,1.801,13,84.07,7
2006,2025-01-01T12:33:36Z,20.4608,25,1.804,12,96.37,3
2008,2025-01-01T12:33:37Z,20.4615,25,1.804,11,96.39,3
2000,2025-01-01T12:33:38Z,20.4618,25,1.806,11,98.01,3
2002,2025-01-01T12:33:39Z,20.465,25,1.812,10,69.23,8
2004,2025-01-01T12:33:40Z,20.4663,25,1.815,15,89.61,5
2000,2025-01-01T12:33:41Z,20.4664,25,1.803,13,101.56,2
2003,2025-01-01T12:33:42Z,20.4706,25,1.809,10,100.49,7
2004,2025-01-01T12:33:43Z,20.472,25,1.815,12,101.68,1
2010,2025-01-01T12:33:44Z,20.4734,25,1.809,13,94.24,5
2010,2025-01-01T12:33:45Z,20.4753,25,1.803,14,97.05,3
2008,2025-01-01T12:33:46Z,20.4793,25,1.804,12,42.92,10
2009,2025-01-01T12:33:47Z,20.4806,25,1.811,11,97.08,5
2003,2025-01-01T12:33:48Z,20.4807,25,1.8,10,75.48,10
2000,2025-01-01T12:33:49Z,20.4814,25,1.809,14,89.9,5
2010,2025-01-01T12:33:50Z,20.4815,25,1.814,10,76.4,9
2002,2025-01-01T12:33:51Z,20.483,25,1.802,10,107.03,8
2002,2025-01-01T12:33:52Z,20.4846,25,1.809,15,104.45,2
2006,2025-01-01T12:33:53Z,20.4881,25,1.814,14,97.02,3
2001,2025-01-01T12:33:54Z,20.4915,25,1.81,15,97.38,3
2002,2025-01-01T12:33:55Z,20.4919,25,1.815,10,98.81,3
2007,2025-01-01T12:33:56Z,20.4921,25,1.805,10,97.01,3
2000,2025-01-01T12:33:57Z,20.4931,25,1.807,10,88.32,6
2009,2025-01-01T12:33:58Z,20.499,25,1.801,14,80.33,7
2009,2025-01-01T12:33:59Z,20.5019,25,1.81,13,87.03,9
2654,2025-01-01T12:34:00Z,20.5024,25,1.825,7,92.12,2
3007,2025-01-01T12:34:01Z,20.5043,25,1.829,13,85.84,3
2003,2025-01-01T12:34:02Z,20.5044,25,1.812,15,102.7,10
2654,2025-01-01T12:34:03Z,20.5047,25,1.836,7,87.56,4
2281,2025-01-01T12:34:04Z,20.5047,25,1.839,7,88.51,4
3007,2025-01-01T12:34:05Z,20.505,25,1.826,13,88.35,7
2281,2025-01-01T12:34:06Z,20.5051,25,1.832,3,92.17,1
2010,2025-01-01T12:34:07Z,20.5065,25,1.815,11,103.92,1
2281,2025-01-01T12:34:08Z,20.5066,25,1.836,13,73.98,6
2654,2025-01-01T12:34:09Z,20.5067,25,1.834,13,88.55,4
2001,2025-01-01T12:34:10Z,20.5082,25,1.805,10,60.52,10
2010,2025-01-01T12:34:11Z,20.5092,25,1.806,11,102.98,1
3007,2025-01-01T12:34:12Z,20.5095,25,1.829,7,93.84,7
2281,2025-01-01T12:34:13Z,20.5109,25,1.835,3,75.87,6
2002,2025-01-01T12:34:14Z,20.5113,25,1.802,10,99.47,6
2281,2025-01-01T12:34:15Z,20.5123,25,1.833,3,87.71,3
2003,2025-01-01T12:34:16Z,20.5146,25,1.806,15,57.81,9
2005,2025-01-01T12:34:17Z,20.5152,25,1.803,13,95.04,5
2281,2025-01-01T12:34:18Z,20.5189,25,1.84,13,89.75,4
2001,2025-01-01T12:34:19Z,20.519,25,1.815,10,92.42,5
2281,2025-01-01T12:34:20Z,20.5193,25,1.828,7,88.98,2
3007,2025-01-01T12:34:21Z,20.5196,25,1.828,13,64.49,8
2006,2025-01-01T12:34:22Z,20.5203,25,1.8,15,75.43,8
2006,2025-01-01T12:34:23Z,20.5207,25,1.811,13,106.22,2
3007,2025-01-01T12:34:24Z,20.5208,25,1.832,13,46.56,10
2419,2025-01-01T12:34:25Z,20.5209,25,1.835,3,86.86,6
2281,2025-01-01T12:34:26Z,20.5218,25,1.832,13,90.53,2
2005,2025-01-01T12:34:27Z,20.5227,25,1.802,15,83.49,7
3007,2025-01-01T12:34:28Z,20.5241,25,1.842,13,94.12,7
3007,2025-01-01T12:34:29Z,20.5241,25,1.842,3,89.58,2
2281,2025-01-01T12:34:30Z,20.5241,25,1.828,3,70.72,7
2419,2025-01-01T12:34:31Z,20.5251,25,1.842,3,73.44,7
3007,2025-01-01T12:34:32Z,20.5253,25,1.841,3,86.27,3
2419,2025-01-01T12:34:33Z,20.5258,25,1.842,3,75.33,10
2419,2025-01-01T12:34:34Z,20.5259,25,1.826,13,92.62,1
2010,2025-01-01T12:34:35Z,20.5261,25,1.801,12,101.84,2
2419,2025-01-01T12:34:36Z,20.5261,25,1.839,7,98.66,8
2010,2025-01-01T12:34:37Z,20.5264,25,1.801,15,106.96,7
2003,2025-01-01T12:34:38Z,20.5286,25,1.811,10,104.39,1
2002,2025-01-01T12:34:39Z,20.5296,25,1.814,12,77.32,8
2000,2025-01-01T12:34:40Z,20.5299,25,1.805,14,102.92,1
2654,2025-01-01T12:34:41Z,20.5299,25,1.834,3,69.03,6
3007,2025-01-01T12:34:42Z,20.5301,25,1.843,13,56.57,8
2281,2025-01-01T12:34:43Z,20.5304,25,1.84,3,92.72,2
2419,2025-01-01T12:34:44Z,20.5317,25,1.832,7,40.05,10
2419,2025-01-01T12:34:45Z,20.5326,25,1.842,7,92.76,1
2654,2025-01-01T12:34:46Z,20.5327,25,1.841,3,87.09,7
3007,2025-01-01T12:34:47Z,20.5336,25,1.839,13,53.05,10
3007,2025-01-01T12:34:48Z,20.5337,25,1.828,13,79.91,5
2654,2025-01-01T12:34:49Z,20.5343,25,1.838,3,86.64,3
2419,2025-01-01T12:34:50Z,20.5361,25,1.841,13,66.5,9
2281,2025-01-01T12:34:51Z,20.5362,25,1.832,13,94.34,2
2000,2025-01-01T12:34:52Z,20.5379,25,1.814,10,107.18,7
2007,2025-01-01T12:34:53Z,20.5379,25,1.814,13,101.78,6
2654,2025-01-01T12:34:54Z,20.538,25,1.84,3,88.04,3
2281,2025-01-01T12:34:55Z,20.5385,25,1.834,3,90.89,2
2419,2025-01-01T12:34:56Z,20.5396,25,1.835,7,105.22,10
2001,2025-01-01T12:34:57Z,20.5403,25,1.815,10,106.32,6
2281,2025-01-01T12:34:58Z,20.5412,25,1.838,3,33.97,9
2419,2025-01-01T12:34:59Z,20.5415,25,1.839,3,90.45,2
2002,2025-01-01T12:35:00Z,20.5419,25,1.811,15,103.67,1
3007,2025-01-01T12:35:01Z,20.5431,25,1.841,3,53.59,8
3007,2025-01-01T12:35:02Z,20.5442,25,1.837,3,73.81,7
2010,2025-01-01T12:35:03Z,20.5453,25,1.8,15,106.42,7
2654,2025-01-01T12:35:04Z,20.5453,25,1.827,3,87.33,7
2419,2025-01-01T12:35:05Z,20.5465,25,1.833,13,84.65,5
3007,2025-01-01T12:35:06Z,20.5472,25,1.827,7,93.08,1
2654,2025-01-01T12:35:07Z,20.5473,25,1.843,7,90.32,4
2003,2025-01-01T12:35:08Z,20.5474,25,1.813,14,106.79,2
2008,2025-01-01T12:35:09Z,20.5475,25,1.81,13,96.22,4
2281,2025-01-01T12:35:10Z,20.5476,25,1.837,3,80.18,5
2010,2025-01-01T12:35:11Z,20.5488,25,1.812,11,85.78,7
2001,2025-01-01T12:35:12Z,20.5502,25,1.808,14,102.91,7
2007,2025-01-01T12:35:13Z,20.5512,25,1.81,10,83.13,6
2281,2025-01-01T12:35:14Z,20.5519,25,1.838,3,92.32,4
2001,2025-01-01T12:35:15Z,20.552,25,1.81,13,102.96,4
2419,2025-01-01T12:35:16Z,20.552,25,1.841,13,78.46,5
2654,2025-01-01T12:35:17Z,20.5544,25,1.826,3,90.58,8
2281,2025-01-01T12:35:18Z,20.555,25,1.835,13,85.72,5
2002,2025-01-01T12:35:19Z,20.5552,25,1.801,14,90.41,5
2007,2025-01-01T12:35:20Z,20.5571,25,1.8,14,103.49,1
3007,2025-01-01T12:35:21Z,20.559,25,1.838,3,72.3,7
2419,2025-01-01T12:35:22Z,20.5611,25,1.828,13,81.46,9
2654,2025-01-01T12:35:23Z,20.5619,25,1.837,7,86.82,3
2654,2025-01-01T12:35:24Z,20.5634,25,1.827,13,93.42,2
2009,2025-01-01T12:35:25Z,20.5639,25,1.808,13,103.63,2
3007,2025-01-01T12:35:26Z,20.5645,25,1.841,3,100.3,10
2281,2025-01-01T12:35:27Z,20.566,25,1.83,3,93.98,2
2002,2025-01-01T12:35:28Z,20.5667,25,1.8,11,104.19,1
3007,2025-01-01T12:35:29Z,20.5671,25,1.829,7,67.95,8
2010,2025-01-01T12:35:30Z,20.5673,25,1.802,10,105.71,2
3007,2025-01-01T12:35:31Z,20.5675,25,1.836,3,99.46,9
2281,2025-01-01T12:35:32Z,20.5683,25,1.829,13,70.67,6
2419,2025-01-01T12:35:33Z,20.5695,25,1.829,13,44.13,8
2001,2025-01-01T12:35:34Z,20.57,25,1.807,11,58.63,8
2654,2025-01-01T12:35:35Z,20.57,25,1.834,13,82.41,5
3007,2025-01-01T12:35:36Z,20.5707,25,1.834,13,57.79,8
2654,2025-01-01T12:35:37Z,20.5707,25,1.843,7,87.09,3
2002,2025-01-01T12:35:38Z,20.571,25,1.815,14,57.95,10
2419,2025-01-01T12:35:39Z,20.5723,25,1.828,13,91.61,1
2654,2025-01-01T12:35:40Z,20.574,25,1.837,13,91.65,1
2281,2025-01-01T12:35:41Z,20.5744,25,1.832,3,38.33,8
3007,2025-01-01T12:35:42Z,20.5751,25,1.83,7,93.67,1
2006,2025-01-01T12:35:43Z,20.5753,25,1.81,14,106.37,2
2654,2025-01-01T12:35:44Z,20.5765,25,1.838,7,86.96,9
2419,2025-01-01T12:35:45Z,20.5783,25,1.83,3,81.02,8
2654,2025-01-01T12:35:46Z,20.5784,25,1.843,3,66.37,9
2281,2025-01-01T12:35:47Z,20.5797,25,1.843,13,47.44,8
2008,2025-01-01T12:35:48Z,20.5813,25,1.803,13,107,2
2006,2025-01-01T12:35:49Z,20.5814,25,1.801,13,81,6
2281,2025-01-01T12:35:50Z,20.5816,25,1.827,3,54.91,10
2002,2025-01-01T12:35:51Z,20.5822,25,1.811,10,52.21,9
2654,2025-01-01T12:35:52Z,20.5823,25,1.831,13,81.08,8
2654,2025-01-01T12:35:53Z,20.5828,25,1.837,3,78.15,7
2001,2025-01-01T12:35:54Z,20.583,25,1.804,14,90.03,6
2654,2025-01-01T12:35:55Z,20.5846,25,1.838,3,92.38,1
2419,2025-01-01T12:35:56Z,20.5851,25,1.828,7,89.19,4
2004,2025-01-01T12:35:57Z,20.5854,25,1.808,11,62.54,9
2007,2025-01-01T12:35:58Z,20.5861,25,1.813,12,102.6,2
2654,2025-01-01T12:35:59Z,20.5869,25,1.835,7,91.42,2
2419,2025-01-01T12:36:00Z,20.5876,25,1.826,7,62.95,10
3007,2025-01-01T12:36:01Z,20.5876,25,1.828,3,90.44,2
2419,2025-01-01T12:36:02Z,20.5885,25,1.833,3,73.76,6
3007,2025-01-01T12:36:03Z,20.5889,25,1.833,3,89.07,6
2419,2025-01-01T12:36:04Z,20.589,25,1.84,7,93.97,2
2654,2025-01-01T12:36:05Z,20.5894,25,1.834,7,73.78,7
2419,2025-01-01T12:36:06Z,20.5898,25,1.839,7,69.59,9
3007,2025-01-01T12:36:07Z,20.5902,25,1.839,3,89.3,3
2001,2025-01-01T12:36:08Z,20.5923,25,1.805,12,92.91,5
2006,2025-01-01T12:36:09Z,20.5927,25,1.8,10,64.12,9
3007,2025-01-01T12:36:10Z,20.5935,25,1.832,3,90.31,4
2281,2025-01-01T12:36:11Z,20.5936,25,1.825,3,77.46,6
2005,2025-01-01T12:36:12Z,20.5938,25,1.804,11,83.03,6
2002,2025-01-01T12:36:13Z,20.5944,25,1.811,12,100.22,10
3007,2025-01-01T12:36:14Z,20.5944,25,1.825,3,87.48,3
2281,2025-01-01T12:36:15Z,20.5952,25,1.841,13,95.1,2
2007,2025-01-01T12:36:16Z,20.5957,25,1.812,11,90.27,6
